,Games,AtBase,Hits
590,3,12,3
591,77,386,120
592,69,295,65
593,1,4,2
594,13,46,6
595,68,267,55
596,37,164,40
597,58,252,54
598,2,8,2
599,3,12,3
600,2,6,1
601,69,308,75
602,13,46,6
603,39,155,40
604,1,4,2
605,13,51,6
606,27,109,29
607,62,260,57
608,77,358,107
609,13,51,14
610,44,203,58
611,1,3,1
612,53,208,50
613,1,4,2
614,65,287,73
615,1,4,2
616,19,83,25
617,11,50,14
618,1,4,1
619,62,269,67
620,42,208,49
621,15,64,25
622,68,308,101
623,71,324,92
624,19,81,20
625,12,47,13
626,1,4,0
627,5,13,1
628,6,23,3
629,25,105,26
630,1,4,0
631,13,47,6
632,43,163,32
633,16,78,21
634,20,76,15
635,80,396,127
636,6,21,5
637,6,22,3
638,38,166,45
639,29,123,28
640,77,348,94
641,6,26,3
642,12,47,11
643,8,33,3
644,70,264,48
645,60,270,73
646,11,40,7
647,68,310,90
648,25,95,17
649,18,65,10
650,13,52,12
651,32,131,36
652,43,188,43
653,54,222,57
654,15,52,11
655,82,389,138
656,8,32,7
657,68,301,95
658,13,50,6
659,15,54,8
660,56,214,35
661,80,342,89
662,21,86,19
663,19,69,18
664,1,4,0
665,69,313,85
666,70,276,55
667,32,131,20
668,34,119,23
669,7,26,2
670,19,81,15
671,75,358,106
672,42,153,36
673,6,23,8
674,27,111,20
675,2,6,1
676,12,45,9
677,70,311,77
678,69,297,85
679,2,6,2
680,70,312,108
681,2,8,1
682,11,43,14
683,5,13,3
684,17,61,14
685,5,23,4
686,3,14,4
687,19,82,16
688,86,358,96
689,27,108,21
690,1,4,0
691,29,125,25
692,8,33,5
693,16,69,12
694,37,146,23
695,11,38,10
696,52,222,64
697,1,3,1
698,25,96,24
699,1,4,0
700,19,70,17
701,1,4,0
702,13,53,9
703,1,3,0
704,3,13,1
705,66,263,64
706,14,57,13
707,33,136,29
708,74,343,107
709,69,314,90
710,21,78,20
711,1,4,1
712,2,9,1
713,2,8,3
714,75,358,116
715,19,76,13
716,6,22,4
717,11,41,4
718,1,5,2
719,41,159,25
720,11,46,12
721,43,179,38
722,10,45,8
723,6,25,6
724,30,113,23
725,1,2,0
726,14,57,14
727,5,20,6
728,1,4,1
729,80,371,136
730,69,287,71
731,1,1,0
732,79,408,136
733,1,4,1
734,33,127,24
735,86,375,111
736,32,133,29
737,21,83,15
738,32,142,40
739,31,130,27
740,44,163,43
741,8,36,11
742,66,309,110
743,66,322,138
744,64,283,85
745,14,55,10
746,2,10,3
747,1,4,0
748,32,139,29
749,62,264,62
750,45,182,50
751,63,272,71
752,57,228,49
753,32,121,25
754,22,82,19
755,64,265,66
756,45,195,41
757,69,309,80
758,5,21,1
759,7,25,4
760,68,289,78
761,12,47,13
762,17,67,16
763,32,118,19
764,64,298,91
765,16,65,22
766,7,28,4
767,54,220,50
768,56,246,55
769,24,105,17
770,3,12,4
771,63,283,70
772,34,138,36
773,64,245,45
774,68,298,94
775,39,174,52
776,1,4,0
777,69,310,82
778,4,14,0
779,35,129,32
780,59,278,80
781,58,221,50
782,60,284,66
783,1,3,0
784,21,89,12
785,66,267,73
786,65,292,76
787,66,276,84
788,61,258,65
789,67,294,78
790,60,268,98
791,54,240,67
792,30,106,23
793,67,283,73
794,1,4,1
795,5,21,3
796,1,4,0
797,45,188,44
798,67,312,102
799,64,305,101
800,12,43,11
801,52,241,64
802,64,276,79
803,59,248,64
804,55,240,60
805,1,3,0
806,1,4,0
807,64,303,85
808,48,180,39
809,22,96,22
810,2,7,2
811,70,288,76
812,56,218,40
813,4,16,3
814,61,276,72
815,9,40,6
816,1,4,0
817,63,308,107
818,55,256,87
819,63,254,66
820,66,278,73
821,1,3,0
822,69,308,87
823,57,212,38
824,1,4,0
825,70,312,102
826,1,4,0
827,3,12,2
828,25,102,21
829,1,2,0
830,66,316,111
831,1,3,0
832,1,4,0
833,57,233,55
834,63,282,91
835,69,324,89
836,16,52,13
837,64,241,61
838,70,286,72
839,1,3,0
840,2,8,1
841,56,224,44
842,55,205,31
843,64,256,48
844,66,292,91
845,56,264,73
846,54,236,70
847,56,225,46
848,57,256,54
849,2,5,0
850,1,3,0
851,1,4,2
852,1,3,0
853,1,4,0
854,66,303,104
855,34,139,33
856,9,35,7
857,70,335,100
858,1,3,0
859,2,8,1
860,67,263,68
861,32,128,27
862,57,245,68
863,29,115,17
864,59,255,86
865,22,92,25
866,1,4,1
867,57,226,45
868,58,218,47
869,61,259,59
870,44,157,27
871,55,214,52
872,58,221,56
873,1,4,0
874,58,277,72
875,60,274,70
876,60,251,95
877,60,255,81
878,57,238,63
879,54,220,51
880,61,238,67
881,19,70,14
882,12,56,10
883,32,119,22
884,61,268,72
885,60,266,82
886,15,55,12
887,33,136,36
888,58,254,65
889,1,4,0
890,56,216,41
891,58,225,59
892,59,250,76
893,1,4,1
894,50,202,46
895,24,91,25
896,59,263,70
897,1,4,0
898,61,269,87
899,16,73,27
900,19,89,25
901,41,167,37
902,20,71,10
903,8,32,6
904,60,261,73
905,55,260,66
906,17,69,21
907,2,8,3
908,38,163,51
909,6,20,2
910,4,17,1
911,58,228,52
912,59,278,81
913,4,18,5
914,58,272,78
915,1,5,1
916,1,3,0
917,2,7,1
918,3,11,2
919,1,4,1
920,57,252,80
921,15,59,10
922,57,258,65
923,1,5,1
924,60,266,98
925,27,107,35
926,11,37,6
927,13,49,10
928,61,242,73
929,35,140,39
930,1,3,0
931,6,19,4
932,51,186,31
933,61,265,96
934,8,29,5
935,60,265,84
936,1,4,1
937,58,262,78
938,4,14,1
939,3,12,3
940,4,16,2
941,33,123,32
942,2,7,2
943,6,26,4
944,33,141,39
945,61,260,74
946,24,94,19
947,10,36,9
948,61,248,64
949,60,254,65
950,60,271,90
951,8,32,8
952,58,253,74
953,2,8,3
954,10,41,4
955,59,266,103
956,3,15,3
957,61,290,80
958,1,4,0
959,56,237,67
960,19,76,22
961,60,261,89
962,49,184,45
963,2,8,1
964,59,236,50
965,58,243,74
966,60,246,64
967,61,253,60
968,60,256,68
969,63,263,80
970,7,21,3
971,50,193,41
972,60,222,35
973,61,271,96
974,29,123,38
975,3,13,2
976,61,259,91
977,1,3,0
978,63,254,57
979,56,229,62
980,61,237,52
981,60,259,77
982,55,214,44
983,60,252,62
984,62,250,51
985,16,67,19
986,3,12,3
987,58,240,64
988,54,240,71
989,3,9,2
990,12,45,8
991,62,281,90
992,62,257,92
993,45,173,32
994,1,2,0
995,61,261,81
996,60,237,67
997,4,14,3
998,58,226,65
999,60,262,68
1000,60,248,63
1001,48,205,46
1002,15,56,8
1003,63,253,57
1004,61,271,83
1005,13,49,12
1006,14,56,11
1007,60,233,56
1008,49,188,45
1009,19,84,11
1010,11,49,9
1011,38,152,37
1012,60,255,71
1013,55,246,76
1014,31,145,47
1015,5,22,5
1016,8,31,5
1017,62,278,57
1018,48,187,43
1019,5,20,3
1020,56,224,52
1021,2,8,1
1022,63,266,90
1023,60,226,48
1024,1,4,2
1025,61,285,100
1026,2,6,1
1027,61,244,63
1028,60,239,54
1029,55,212,37
1030,2,9,1
1031,37,138,27
1032,43,165,41
1033,48,170,34
1034,7,27,4
1035,61,258,81
1036,52,197,28
1037,63,250,58
1038,59,267,60
1039,62,269,83
1040,4,13,3
1041,11,48,9
1042,16,60,7
1043,1,5,0
1044,51,227,72
1045,77,323,86
1046,65,257,62
1047,63,251,62
1048,39,168,46
1049,53,229,59
1050,6,21,6
1051,84,359,86
1052,28,117,26
1053,80,335,80
1054,65,261,53
1055,70,304,78
1056,9,37,7
1057,36,146,39
1058,70,292,77
1059,49,236,76
1060,15,60,13
1061,60,261,75
1062,71,333,97
1063,3,10,1
1064,81,350,102
1065,1,4,0
1066,59,270,72
1067,47,191,42
1068,3,11,2
1069,81,353,96
1070,78,317,66
1071,72,280,65
1072,54,241,73
1073,12,51,13
1074,30,123,31
1075,79,324,92
1076,35,146,46
1077,56,218,46
1078,79,316,66
1079,76,306,82
1080,67,265,66
1081,2,6,1
1082,79,313,62
1083,52,205,35
1084,80,325,68
1085,9,38,9
1086,63,266,70
1087,30,132,46
1088,1,3,0
1089,51,209,47
1090,67,306,79
1091,44,171,31
1092,4,18,2
1093,38,155,31
1094,64,250,52
1095,85,409,146
1096,2,6,0
1097,59,229,46
1098,4,15,4
1099,78,319,85
1100,81,369,103
1101,80,356,95
1102,83,355,112
1103,1,4,1
1104,77,345,120
1105,10,36,4
1106,6,22,5
1107,2,7,1
1108,49,193,56
1109,60,228,50
1110,1,2,0
1111,64,246,52
1112,1,4,0
1113,67,242,52
1114,40,177,43
1115,1,4,1
1116,43,173,35
1117,57,230,51
1118,75,282,62
1119,85,374,103
1120,12,51,15
1121,47,171,30
1122,2,8,1
1123,81,354,105
1124,30,109,16
1125,84,348,98
1126,3,12,2
1127,28,106,28
1128,2,7,3
1129,81,362,126
1130,72,317,108
1131,2,8,0
1132,83,379,93
1133,81,365,99
1134,63,277,72
1135,12,50,11
1136,83,334,69
1137,62,236,54
1138,42,152,33
1139,79,336,95
1140,62,254,54
1141,1,6,2
1142,43,161,23
1143,8,34,12
1144,10,36,2
1145,73,316,96
1146,11,44,4
1147,81,329,78
1148,66,317,101
1149,4,12,1
1150,2,6,0
1151,71,264,46
1152,5,19,5
1153,84,339,84
1154,24,97,21
1155,3,14,5
1156,72,287,79
1157,83,364,104
1158,76,316,77
1159,1,3,0
1160,1,4,1
1161,78,333,110
1162,76,294,40
1163,80,320,94
1164,34,131,21
1165,85,388,107
1166,81,342,106
1167,1,4,1
1168,86,356,120
1169,13,46,7
1170,51,193,44
1171,11,40,8
1172,76,282,62
1173,1,2,0
1174,82,309,70
1175,1,4,0
1176,3,12,2
1177,86,356,90
1178,85,333,103
1179,41,146,25
1180,77,300,72
1181,82,333,75
1182,83,352,89
1183,80,323,91
1184,47,209,63
1185,83,340,113
1186,72,286,66
1187,41,138,24
1188,10,31,4
1189,85,306,61
1190,85,354,95
1191,86,382,126
1192,30,119,23
1193,31,133,39
1194,8,34,11
1195,3,10,3
1196,10,35,7
1197,79,321,79
1198,18,65,10
1199,85,373,103
1200,5,18,1
1201,64,253,61
1202,47,180,46
1203,13,45,8
1204,80,339,92
1205,82,332,87
1206,74,284,46
1207,80,332,97
1208,81,290,49
1209,11,44,7
1210,66,241,51
1211,10,32,6
1212,2,6,0
1213,82,346,84
1214,30,99,17
1215,77,296,72
1216,35,142,37
1217,77,322,116
1218,87,347,90
1219,1,4,1
1220,2,7,0
1221,3,8,1
1222,69,263,55
1223,73,280,69
1224,9,27,10
1225,1,5,1
1226,85,374,115
1227,60,212,40
1228,85,342,91
1229,78,325,78
1230,12,47,7
1231,49,184,37
1232,85,352,91
1233,66,280,84
1234,2,7,0
1235,12,43,10
1236,2,7,1
1237,84,344,100
1238,66,250,50
1239,49,201,48
1240,6,20,3
1241,22,79,10
1242,4,9,1
1243,1,3,0
1244,33,133,28
1245,17,59,12
1246,48,190,41
1247,53,187,36
1248,78,289,71
1249,18,59,8
1250,31,111,28
1251,7,22,4
1252,1,4,0
1253,86,342,81
1254,2,9,2
1255,27,100,33
1256,2,7,0
1257,3,12,3
1258,86,363,100
1259,81,313,86
1260,86,359,82
1261,85,334,85
1262,19,70,11
1263,7,25,5
1264,37,126,18
1265,77,325,95
1266,82,300,71
1267,6,21,3
1268,30,103,21
1269,73,272,56
1270,83,343,89
1271,32,129,32
1272,77,309,70
1273,79,326,82
1274,48,191,38
1275,83,338,90
1276,83,334,69
1277,24,88,16
1278,82,345,96
1279,28,104,19
1280,83,355,94
1281,3,12,3
1282,43,166,43
1283,1,4,1
1284,76,288,72
1285,5,16,2
1286,33,136,22
1287,39,125,26
1288,34,126,29
1289,86,356,81
1290,66,251,72
1291,1,4,1
1292,17,65,6
1293,35,141,42
1294,62,207,35
1295,76,302,67
1296,23,78,8
1297,75,311,78
1298,81,327,80
1299,1,4,1
1300,9,34,3
1301,53,203,43
1302,84,343,137
1303,69,295,80
1304,76,299,90
1305,3,10,2
1306,1,4,0
1307,60,241,60
1308,65,270,86
1309,27,108,26
1310,18,75,18
1311,73,282,67
1312,84,342,95
1313,76,275,64
1314,83,347,75
1315,63,234,53
1316,85,370,82
1317,68,261,66
1318,85,367,107
1319,47,189,42
1320,51,203,45
1321,80,309,64
1322,72,279,71
1323,82,362,117
1324,43,147,35
1325,85,320,77
1326,59,236,44
1327,80,367,116
1328,51,220,61
1329,8,34,8
1330,5,19,4
1331,80,351,114
1332,83,315,76
1333,67,272,68
1334,84,345,82
1335,85,339,96
1336,1,2,0
1337,80,306,95
1338,83,375,96
1339,5,15,2
1340,75,278,50
1341,30,118,21
1342,62,236,50
1343,80,297,72
1344,84,348,96
1345,46,183,40
1346,85,335,86
1347,42,158,38
1348,73,309,92
1349,51,182,50
1350,85,321,62
1351,76,305,85
1352,80,361,103
1353,46,180,49
1354,83,324,78
1355,77,317,98
1356,75,308,86
1357,50,206,55
1358,46,152,35
1359,82,353,114
1360,1,3,0
1361,39,150,47
1362,83,340,92
1363,3,11,3
1364,27,114,25
1365,23,78,13
1366,1,1,0
1367,16,57,11
1368,19,71,12
1369,68,259,43
1370,12,45,6
1371,70,309,79
1372,11,41,9
1373,81,311,90
1374,12,47,10
1375,7,25,4
1376,33,135,31
1377,1,4,1
1378,5,19,5
1379,1,4,0
1380,24,103,29
1381,26,108,22
1382,41,168,41
1383,2,8,0
1384,83,348,105
1385,54,229,49
1386,85,357,97
1387,2,8,2
1388,5,18,2
1389,55,219,74
1390,5,15,1
1391,20,80,14
1392,30,113,33
1393,78,293,72
1394,1,4,0
1395,2,7,1
1396,72,270,59
1397,19,70,12
1398,2,8,3
1399,48,172,30
1400,83,344,100
1401,27,98,27
1402,61,252,63
1403,64,246,82
1404,85,343,88
1405,10,34,4
1406,3,11,0
1407,11,41,3
1408,62,219,50
1409,79,348,114
1410,3,11,1
1411,75,341,92
1412,1,4,1
1413,35,121,23
1414,83,333,97
1415,1,3,1
1416,6,28,3
1417,1,4,2
1418,24,103,25
1419,6,25,5
1420,11,44,15
1421,85,357,87
1422,40,148,30
1423,78,319,99
1424,2,7,0
1425,58,214,39
1426,75,282,72
1427,13,47,12
1428,82,343,92
1429,1,4,2
1430,80,337,100
1431,7,25,5
1432,1,4,1
1433,85,316,96
1434,82,348,126
1435,14,52,10
1436,1,5,0
1437,34,133,28
1438,84,342,103
1439,75,338,89
1440,72,281,64
1441,4,13,2
1442,8,30,4
1443,1,3,0
1444,1,4,0
1445,30,115,21
1446,53,194,50
1447,84,351,129
1448,17,60,11
1449,69,288,109
1450,45,180,52
1451,15,50,13
1452,83,319,76
1453,1,4,0
1454,84,355,88
1455,10,36,4
1456,69,253,40
1457,80,351,120
1458,10,41,5
1459,9,39,9
1460,29,121,21
1461,3,11,4
1462,44,172,38
1463,26,98,16
1464,13,51,7
1465,78,329,80
1466,81,349,115
1467,40,169,35
1468,64,255,63
1469,81,286,65
1470,1,5,0
1471,4,14,3
1472,5,20,2
1473,8,28,4
1474,60,233,52
1475,29,110,18
1476,84,397,117
1477,67,264,70
1478,2,8,2
1479,84,329,81
1480,40,149,29
1481,22,89,14
1482,44,181,51
1483,8,26,4
1484,25,104,25
1485,3,11,2
1486,23,80,11
1487,84,364,102
1488,1,3,0
1489,1,4,0
1490,1,4,0
1491,30,115,23
1492,45,179,44
1493,80,334,71
1494,1,4,0
1495,74,328,89
1496,2,7,2
1497,84,366,93
1498,69,283,70
1499,81,319,82
1500,81,331,83
1501,84,341,104
1502,73,278,67
1503,21,76,7
1504,79,324,91
1505,35,136,31
1506,54,206,44
1507,13,41,6
1508,74,298,82
1509,56,201,45
1510,84,358,104
1511,79,347,100
1512,78,331,84
1513,46,183,42
1514,10,41,13
1515,84,367,117
1516,7,30,9
1517,1,4,0
1518,2,8,0
1519,82,347,80
1520,32,123,23
1521,78,326,88
1522,78,340,94
1523,84,379,117
1524,1,3,1
1525,71,251,46
1526,1,3,0
1527,85,388,117
1528,84,378,98
1529,74,306,79
1530,84,333,73
1531,1,4,0
1532,31,121,24
1533,4,15,1
1534,4,13,4
1535,53,189,43
1536,24,91,19
1537,30,104,14
1538,84,377,115
1539,3,11,1
1540,24,97,23
1541,1,3,1
1542,9,33,11
1543,13,53,5
1544,86,347,72
1545,3,12,2
1546,50,175,30
1547,57,211,37
1548,74,323,92
1549,60,255,73
1550,4,18,4
1551,3,11,3
1552,28,120,28
1553,72,264,48
1554,79,299,70
1555,19,77,18
1556,29,121,28
1557,21,76,8
1558,31,126,30
1559,79,346,95
1560,1,4,0
1561,76,288,65
1562,45,169,38
1563,38,153,42
1564,1,4,1
1565,2,6,2
1566,26,93,12
1567,70,262,57
1568,34,133,19
1569,51,203,44
1570,1,5,1
1571,1,4,0
1572,15,55,12
1573,78,311,71
1574,1,0,0
1575,2,8,1
1576,1,4,0
1577,17,66,17
1578,83,349,101
1579,2,7,2
1580,24,98,29
1581,9,32,2
1582,5,16,1
1583,9,36,12
1584,20,70,19
1585,84,341,84
1586,77,303,78
1587,69,294,53
1588,28,97,20
1589,26,95,15
1590,47,186,37
1591,62,241,73
1592,22,89,18
1593,6,22,4
1594,84,370,104
1595,78,331,96
1596,85,330,72
1597,78,335,87
1598,9,33,10
1599,41,151,32
1600,80,338,81
1601,16,60,13
1602,84,380,105
1603,42,159,32
1604,83,326,78
1605,74,266,63
1606,4,15,2
1607,3,11,2
1608,2,8,1
1609,83,354,96
1610,41,140,24
1611,18,65,12
1612,55,228,64
1613,11,39,7
1614,82,331,78
1615,24,97,25
1616,75,308,82
1617,83,327,81
1618,1,3,1
1619,39,145,22
1620,12,48,9
1621,1,4,1
1622,10,34,8
1623,49,199,45
1624,15,50,9
1625,10,39,8
1626,60,231,60
1627,1,5,2
1628,38,144,31
1629,1,4,0
1630,84,313,67
1631,73,281,60
1632,2,7,0
1633,59,240,51
1634,16,61,9
1635,35,149,36
1636,19,70,17
1637,1,3,0
1638,20,65,6
1639,3,11,2
1640,1,3,1
1641,72,309,90
1642,80,354,102
1643,82,356,117
1644,49,214,55
1645,84,360,104
1646,8,32,6
1647,72,272,59
1648,32,110,18
1649,79,296,59
1650,67,286,78
1651,51,188,34
1652,81,319,80
1653,77,329,109
1654,23,88,14
1655,1,4,0
1656,71,302,84
1657,1,5,1
1658,1,5,0
1659,15,56,5
1660,32,129,31
1661,40,152,37
1662,4,17,4
